id_estudiante,nombre,apellido,edad,sexo,ciudad,fecha_registro
1,Pacífica,,25.0,M,Santa Cruz de Tenerife,2025-04-13
2,,Zamora,94.0,M,Jaén,2024-09-15
3,Carina,Llorens,18.0,M,Guipúzcoa,2022-11-17
4,Juan Manuel,Salvador,20.0,F,Asturias,2025-01-18
5,Armida,Sanz,30.0,1,Toledo,2025-01-31
6,Pelayo,Benavent,19.0,F,Valencia,2024-09-05
7,Brunilda,Salazar,29.0,F,Badajoz,2022-09-26
8,Leonardo,Calatayud,23.0,M,Valladolid,2022-10-27
9,Trinidad,Fábregas,39.0,M,Castellón,1996-09-13
10,Rafa,,36.0,F,Córdoba,2024-09-05
11,Petrona,Ferreras,22.0,F,Zaragoza,2024-10-10
12,Alejandra,Vendrell,22.0,M,Madrid,2024-10-02
13,Lourdes,Palomares,37.0,,Valladolid,2022-11-09
14,Fortunato,Iborra,39.0,F,Barcelona,2023-04-25
15,César,Torrens,,M,Cantabria,2024-07-12
16,Gabriel,Pinto,23.0,M,Madrid,2023-03-08
17,Mohamed,Alcolea,27.0,M,Tarragona,2024-04-17
18,,Madrigal,88.0,M,La Rioja,2022-09-07
19,Domitila,Pol,40.0,F,Jaén,2022-07-28
20,Pilar,Cózar,25.0,F,,2023-01-23
21,Samuel,,19.0,M,Cáceres,
22,Demetrio,Noguera,36.0,M,La Rioja,2023-04-20
23,Arsenio,,31.0,M,Cádiz,2023-05-29
24,,Ruano,21.0,M,Almería,2022-06-30
25,Beatriz,Blanes,20.0,M,,2025-01-22
26,Edmundo,Manzano,25.0,F,Almería,2023-10-21
27,Brunilda,Roda,7.0,F,Guadalajara,2023-09-23
28,Rosario,Corbacho,28.0,,Segovia,2023-12-04
29,Ricarda,Pascual,84.0,X,Álava,2022-12-17
30,Amador,Zapata,106.0,F,Salamanca,2024-09-24
31,Herminio,Cuervo,39.0,F,Burgos,2023-12-21
32,,Lamas,21.0,X,Zaragoza,2024-08-01
33,Amador,,27.0,F,Toledo,2022-11-18
34,Severino,,27.0,M,Pontevedra,2023-09-12
35,Amílcar,Sosa,26.0,M,Castellón,2023-08-27
36,Abril,Bermudez,19.0,,Baleares,2004-06-17
37,Azahar,Aguado,32.0,F,Navarra,2025-03-18
38,Felix,Gutierrez,19.0,M,Madrid,1999-07-09
39,Bárbara,Nieto,29.0,M,Zamora,2024-08-19
40,Marcelo,Bárcena,22.0,M,Las Palmas,2022-08-25
41,Apolonia,Madrid,106.0,M,Ourense,2024-03-09
42,Tristán,Hoz,25.0,F,Guipúzcoa,2023-07-09
43,Isaura,Ortega,30.0,M,Cádiz,2022-08-15
44,Jose Antonio,Abad,35.0,M,Guadalajara,2024-08-24
